Case_ID,Timestamp,Event,Flammability_Score
44577,2025-11-08 08:07:58.544222406,Fire_Arrival,0.34
28770,2025-11-08 08:07:59.420213130,Fire_Arrival,0.34
46542,2025-11-08 08:07:59.463751374,Fire_Arrival,0.34
45354,2025-11-08 08:08:03.245160852,Fire_Arrival,0.34
43971,2025-11-08 08:08:03.903678425,Fire_Arrival,0.34
43544,2025-11-08 08:08:07.331292582,Fire_Arrival,0.46
46381,2025-11-08 08:08:08.326493874,Fire_Arrival,0.46
34240,2025-11-08 08:08:09.996235092,Destroyed,0.49
53107,2025-11-08 08:08:13.821573120,Fire_Arrival,0.5
53108,2025-11-08 08:08:15.448393578,Fire_Arrival,0.5
44135,2025-11-08 08:08:16.016486466,Fire_Arrival,0.46
53278,2025-11-08 08:08:16.703111052,Fire_Arrival,0.5
44689,2025-11-08 08:08:20.220828720,Fire_Arrival,0.19
46382,2025-11-08 08:08:21.268838748,Fire_Arrival,0.46
28779,2025-11-08 08:08:24.914718102,Fire_Arrival,0.19
44103,2025-11-08 08:08:25.435314954,Fire_Arrival,0.46
44691,2025-11-08 08:08:29.211460740,Fire_Arrival,0.26
46552,2025-11-08 08:08:30.161292462,Fire_Arrival,0.46
46380,2025-11-08 08:08:30.940714716,Fire_Arrival,0.34
28777,2025-11-08 08:08:32.612225466,Fire_Arrival,0.66
74225,2025-11-08 08:08:35.021387304,Fire_Arrival,0.5
44574,2025-11-08 08:08:35.065139298,Fire_Arrival,0.54
28772,2025-11-08 08:08:36.209370792,Fire_Arrival,0.46
28768,2025-11-08 08:08:39.238148514,Fire_Arrival,0.46
45351,2025-11-08 08:08:42.014258850,Fire_Arrival,0.46
46543,2025-11-08 08:08:48.001675854,Fire_Arrival,0.34
43543,2025-11-08 08:08:50.008712958,Fire_Arrival,0.46
30036,2025-11-08 08:08:52.316292054,Fire_Arrival,0.46
46505,2025-11-08 08:08:52.434975894,Fire_Arrival,0.66
45052,2025-11-08 08:08:53.785465584,Fire_Arrival,0.66
28787,2025-11-08 08:08:54.802502754,Fire_Arrival,0.34
44690,2025-11-08 08:09:00.117059844,Fire_Arrival,0.46
30032,2025-11-08 08:09:00.839267508,Fire_Arrival,0.36
45279,2025-11-08 08:09:01.519313850,Fire_Arrival,0.34
44104,2025-11-08 08:09:06.499018248,Fire_Arrival,0.46
46551,2025-11-08 08:09:08.736023796,Fire_Arrival,0.34
43539,2025-11-08 08:09:10.745411532,Fire_Arrival,0.46
44132,2025-11-08 08:09:11.329637148,Fire_Arrival,0.34
43540,2025-11-08 08:09:11.742186408,Fire_Arrival,0.46
46383,2025-11-08 08:09:12.276579846,Fire_Arrival,0.49
45048,2025-11-08 08:09:13.222716468,Fire_Arrival,0.56
43875,2025-11-08 08:09:15.646808027,Ignition,0.54
45280,2025-11-08 08:09:15.809985744,Fire_Arrival,0.34
30035,2025-11-08 08:09:16.118600015,Fire_Arrival,0.49
28769,2025-11-08 08:09:22.533229452,Fire_Arrival,0.46
30294,2025-11-08 08:09:23.726137512,Fire_Arrival,0.66
44111,2025-11-08 08:09:25.493697780,Fire_Arrival,0.46
46554,2025-11-08 08:09:26.429047740,Fire_Arrival,0.34
46504,2025-11-08 08:09:27.808136880,Fire_Arrival,0.66
43548,2025-11-08 08:09:29.729664936,Fire_Arrival,0.49
46550,2025-11-08 08:09:30.481445261,Fire_Arrival,0.34
44696,2025-11-08 08:09:36.352373214,Fire_Arrival,0.34
44112,2025-11-08 08:09:36.515193672,Fire_Arrival,0.46
44578,2025-11-08 08:09:38.232874686,Fire_Arrival,0.54
43005,2025-11-08 08:09:42.530327544,Fire_Arrival,0.46
53264,2025-11-08 08:09:45.285574368,Fire_Arrival,0.5
31580,2025-11-08 08:09:47.491734666,Fire_Arrival,0.46
28767,2025-11-08 08:09:48.127689762,Fire_Arrival,0.46
46549,2025-11-08 08:09:50.677986966,Fire_Arrival,0.34
44695,2025-11-08 08:09:55.756757214,Ignition,0.46
45350,2025-11-08 08:10:06.078873024,Fire_Arrival,0.36
32139,2025-11-08 08:10:06.121342506,Ignition,0.36
28764,2025-11-08 08:10:06.130823538,Fire_Arrival,0.46
45278,2025-11-08 08:10:09.337740222,Fire_Arrival,0.46
45220,2025-11-08 08:10:09.834787440,Fire_Arrival,0.46
45051,2025-11-08 08:10:15.665657657,Fire_Arrival,0.66
46384,2025-11-08 08:10:15.767454036,Fire_Arrival,0.46
28806,2025-11-08 08:10:15.847533444,Fire_Arrival,0.46
43006,2025-11-08 08:10:17.384674098,Fire_Arrival,0.46
43538,2025-11-08 08:10:17.900835366,Fire_Arrival,0.49
53598,2025-11-08 08:10:22.243435122,Fire_Arrival,0.5
46548,2025-11-08 08:10:23.305332090,Fire_Arrival,0.34
46553,2025-11-08 08:10:24.759722574,Fire_Arrival,0.34
45049,2025-11-08 08:10:28.329109926,Fire_Arrival,0.46
28766,2025-11-08 08:10:29.552809794,Fire_Arrival,0.46
46544,2025-11-08 08:10:30.895120812,Fire_Arrival,0.34
53230,2025-11-08 08:10:36.535774752,Fire_Arrival,0.5
45221,2025-11-08 08:10:37.539762630,Fire_Arrival,0.36
74224,2025-11-08 08:10:40.933194294,Ignition,0.5
46557,2025-11-08 08:10:41.986080120,Fire_Arrival,0.46
46503,2025-11-08 08:10:45.109127742,Fire_Arrival,0.34
44068,2025-11-08 08:10:48.648845304,Fire_Arrival,0.34
45277,2025-11-08 08:10:49.758715416,Fire_Arrival,0.46
45349,2025-11-08 08:10:55.461699636,Fire_Arrival,0.49
53120,2025-11-08 08:11:01.321516668,Ignition,0.5
53090,2025-11-08 08:11:01.439315820,Ignition,0.5
43276,2025-11-08 08:11:04.470916806,Ignition,0.54
53599,2025-11-08 08:11:07.464530328,Ignition,0.5
46547,2025-11-08 08:11:08.398338996,Fire_Arrival,0.34
44697,2025-11-08 08:11:09.920792850,Fire_Arrival,0.34
45275,2025-11-08 08:11:13.633016640,Fire_Arrival,0.46
38249,2025-11-08 08:11:13.676748732,Ignition,0.19
31579,2025-11-08 08:11:15.279138947,Fire_Arrival,0.66
45222,2025-11-08 08:11:15.877765374,Fire_Arrival,0.36
53604,2025-11-08 08:11:16.362287760,Fire_Arrival,0.5
28805,2025-11-08 08:11:16.921937796,Fire_Arrival,0.36
46546,2025-11-08 08:11:19.592137362,Fire_Arrival,0.19
44067,2025-11-08 08:11:20.048984088,Fire_Arrival,0.46
28763,2025-11-08 08:11:20.342905128,Fire_Arrival,0.34
45219,2025-11-08 08:11:23.808856188,Fire_Arrival,0.66
28765,2025-11-08 08:11:27.186546408,Fire_Arrival,0.66
28780,2025-11-08 08:11:27.897776730,Ignition,0.46
28807,2025-11-08 08:11:28.086893136,Fire_Arrival,0.36
46555,2025-11-08 08:11:30.302510622,Fire_Arrival,0.34
45050,2025-11-08 08:11:32.488372571,Fire_Arrival,0.46
28808,2025-11-08 08:11:38.896679130,Fire_Arrival,0.34
53605,2025-11-08 08:11:46.529507190,Fire_Arrival,0.5
43955,2025-11-08 08:11:48.596961378,Fire_Arrival,0.49
